Run Number,Activity,Temperature(C),Time Start,Time Stop,Coulombs,meV,Add. Notes
Ge,,,,,,,
Xtal,,,,,,,
150434,Measuring,23,,,1.5,50,
150435,Ramping,23->50,6:15 PM,6:38 PM,1.9,50,
150436,Measuring,50,6:38:00 PM,7:02:00 PM,2,50,
150437,Ramping,50->100,7:03:00 PM,7:38 PM,2.6,50,
150438,Measuring,100,7:38 PM,8:02 PM,2,50,
150439,Ramping,100->327,8:04 PM,8:50 PM,3.8,50,
150440,Measuring,327,8:50 PM,9:14 PM,2,50,
150441,TRASH,,,,,,Stopped to let vacuum catch up (supposed to be at ~3-7*10^(-4) but kept rising. Pressure reached 1.011*10^(-3). Temp was reset to 300 C to avoid overshooting of pressure.
150442,Ramping,327->515,22:25,23:02,,3.1,Stopped to let vacuum catch up (supposed to be at ~3-7*10^(-4) but kept rising. Pressure reached 2.058*10^(-3). Temp was reset to 300 C to avoid overshooting of pressure.
150443,Ramping,300->400,11:45 PM,12:04 AM,1.6,50,
150444,Measuring,400,12:04 AM,12:17 AM,1,50,
150445,Ramping,400->500,12:17 AM,12:37 AM,1.6,50,
150446,Measuring,500,12:37 AM,12:49 AM,1,50,
150447,Ramping,500->515,12:58 AM,1:13 AM,1.2,50,
150448,Ramping,515->600,1:13 AM,1:53 AM,3.3,50,
150449,Measuring,600,1:53 AM,2:17 AM,2,50,
150450,Ramping,600->700,3:02 AM,3:50 AM,4,50,
150451,Measuring,700,3:50 AM,4:02 AM,1,50,
150452,Ramping,700->800,4:47 AM,5:35 AM,4,50,
150453,Measuring,800,5:35 AM,5:59 AM,2,50,
150454,Ramping,800->900,6:39 AM,7:27 AM,4,50,
150455,Measuring,900,7:27 AM,7:51 AM,2,50,
150456,Ramping,900->930,8:26 AM,8:39 AM,1,50,
150457,Measuring,930,8:39 AM,9:03 AM,2,50,
150458,Ramping,930->1000,9:04 AM,9:37 AM,2.4,50,
150459,Ramping,1000->1100,9:37 AM,10:27 AM,4.2,50,
